title,length (sek),publishedDate,viewCount,likeCount,url,description
Joe Biden: Should he stay or should he go | 11KM - der tagesschau-Podcast,1783,2024-07-08T21:40:20-07:00,3320,54,https://www.youtube.com/watch?v=WmAh8dXLtt4,"Ist es wirklich nur der Allmächtige, der Joe Biden vom Rückzug überzeugen kann? So sagt es zumindest der US-Präsident. Und das, obwohl die ganze Welt darüber diskutiert, ob er noch fit genug ist für das Amt des US-Präsidenten. Erstmals positionieren sich nun auch prominente Demokraten öffentlich gegen ihn: Sollte Joe Biden gehen oder bleiben? In dieser 11KM-Folge ist Ralf Borchard aus dem ARD-Studio Washington zu Gast und spricht mit uns über eine weitreichende Entscheidung und die Frage, wer sie trifft.

Alle aktuellen Infos zu US-Präsident Biden immer auf tagesschau.de:
https://www.tagesschau.de/thema/biden

Hier geht’s unserem Podcast-Tipp “Die Korrespondenten in Washington”: https://www.ardaudiothek.de/sendung/die-korrespondenten-in-washington/52678414/

An dieser Folge waren beteiligt:

Folgenautor: Stephan Beuting

Mitarbeit: Marc Hoffmann und Christian Schepsmeier

Produktion: Konrad Winkler und Alexander Gerhardt

Redaktionsleitung: Fumiko Lipp und Lena Gürtler



11KM: der tagesschau-Podcast wird produziert von BR24 und NDR Info. Die redaktionelle Verantwortung für diese Episode liegt beim NDR."
"tagesschau 20:00 Uhr, 08.07.2024",948,2024-07-08T11:35:02-07:00,120360,1773,https://www.youtube.com/watch?v=VyTfLV_MNWg,"Die 20-Uhr-Ausgabe im Livestream und früher auf Abruf: https://ardmediathek.de/tagesschau und https://tagesschau.de

Themen der Sendung:

00:00 Guten Abend
00:22 Schwierige Regierungsbildung nach Neuwahlen in Frankreich
02:55 Viele Tote und Verletzte nach russischen Raketenangriffen auf fünf ukrainische Städte
05:06 EU-Ratspräsident Orban trifft sich in China mit Staats- und Parteichef Xi
07:06 Neue Rechtsaußen-Fraktion ""Patrioten für Europa"" im EU-Parlament gebildet
09:24 Verteidigungsminister Pistorius kritisiert Wehretat für 2025
09:53 Steigende Zahl von sexualisierter Gewalt gegen Minderjährige
12:09 Diskussion über Preis des Deutschlandtickets für 2025
12:35 Ein Toter und 20 Verletzte durch Brand in Flüchtlingsunterkuft in Buchholz/Heide
13:04 Ausrangiertes U-Boot auf dem Weg von der Nordsee ins Technikmuseum Sinsheim
14:32 Das Wetter"
